playername,owner
23. RP AJ Minter $0.50M (4),TB
24. RP Jeurys Familia $1.80M 2021,TB
25. RP Tyler Rogers NCT,TB
26. RP Brad Boxberger $0.50M (2022),TB
27. RP Phil Maton NCT,TB
28. OF Anthony Alford NCT,TB
29. C Austin Allen NCT,TB
30. SP Logan Allen NCT,TB
31. RP Bryan Abreu NCT,TB
32. OF/2B Sam Haggerty NCT,TB
"33. Tom Hackimer, RP, MIN",TB
34. RP Jesus Tinoco NCT,TB
35. SS Donovan Walton NCT,TB
36. C Aramis Garcia NCT,TB
37. RP Connor Menez NCT,TB
