salary,sp_k_low,sp_k_high,w_low,w_high,sp_era_low,sp_era_high,sp_whip_low,sp_whip_high,rp_k_low,rp_k_high,sv_low,sv_high,hld_low,hld_high,rp_era_low,rp_era_high,rp_whip_low,rp_whip_high
0.75,113,128,7,7,4.11,4.42,1.23,1.29,66,70,2,2,10,11,3.27,3.65,1.18,1.24
1.5,129,158,8,10,3.57,4.11,1.15,1.23,71,78,3,8,12,17,2.81,3.27,1.09,1.18
2.25,159,182,11,11,3.31,3.57,1.12,1.15,79,82,9,14,18,21,2.56,2.81,1.03,1.09
3,183,201,12,12,3.14,3.31,1.07,1.12,83,94,15,29,22,23,2.01,2.56,0.97,1.03
3.75,202,233,13,15,2.45,3.14,0.98,1.07,95,108,30,38,24,29,1.25,2.01,0.88,0.97
4.5,234,999,16,99,0,2.45,0,0.98,109,999,39,99,30,99,0,1.25,0,0.88
