Player Name,Total Value,Total Salary,FFS Valuation,FG Link,Position,W,W Salary,SO,SO Salary,ERA,ERA Salary,WHIP,WHIP Salary,SV,SV Salary,HLD,HLD Salary,Pitching Modifier,R,R Salary,HR,HR Salary,RBI,RBI Salary,SB,SB Salary,AVG,AVG Salary,OPS,OPS Salary
Joe Kelly ,0,0.5,0,https://www.fangraphs.com/players/joe-kelly/9761/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
Jedd Gyorko ,0,0.5,0,https://www.fangraphs.com/players/jedd-gyorko/10816/stats?position=2B/3B,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Chris Archer ,0,0.5,0,https://www.fangraphs.com/players/chris-archer/6345/stats?position=P,SP,1,0,21,0,4.71,0,1.36,0,0,0,0,0,0.0967,,,,,,,,,,,,
Curt Casali ,0,0.5,0,https://www.fangraphs.com/players/curt-casali/12510/stats?position=C,,,,,,,,,,,,,,,20,0,5,0,26,0,0,0,0.21,0,0.663,0
Austin Romine ,0,0.5,0,https://www.fangraphs.com/players/austin-romine/5491/stats?position=C,,,,,,,,,,,,,,,5,0,1,0,5,0,0,0,0.217,0,0.542,0
Adam Eaton ,0,0.5,0,https://www.fangraphs.com/players/adam-eaton/11205/stats?position=OF,,,,,,,,,,,,,,,38,0,6,0,30,0,3,0,0.201,0,0.608,0
Travis d'Arnaud ,0,0.5,0,https://www.fangraphs.com/players/travis-darnaud/7739/stats?position=C,,,,,,,,,,,,,,,21,0,7,0,26,0,0,0,0.22,0,0.671,0
Juan Lagares ,0,0.5,0,https://www.fangraphs.com/players/juan-lagares/5384/stats?position=OF,,,,,,,,,,,,,,,39,0,6,0,38,0,1,0,0.236,0,0.638,0
Matt Harvey ,0,0.5,0,https://www.fangraphs.com/players/matt-harvey/11713/stats?position=P,SP,6,0,95,0,6.3,0,1.55,0,0,0,0,0,0.63835,,,,,,,,,,,,
Abraham Almonte ,0,0.5,0,https://www.fangraphs.com/players/abraham-almonte/5486/stats?position=OF,,,,,,,,,,,,,,,20,0,5,0,19,0,1,0,0.216,0,0.73,0
Adam Morgan ,0,0.5,0,https://www.fangraphs.com/players/adam-morgan/12580/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
Scott Oberg ,0,0.5,0,https://www.fangraphs.com/players/scott-oberg/13911/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
Zack Godley ,0,0.5,0,https://www.fangraphs.com/players/zack-godley/14862/stats?position=P,RP,0,0,5,0,17.42,0,2.9,0,0,0,0,0,0.0167,,,,,,,,,,,,
Trevor Rosenthal ,0,0.5,0,https://www.fangraphs.com/players/trevor-rosenthal/10745/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
Jerad Eickhoff ,0,0.5,0,https://www.fangraphs.com/players/jerad-eickhoff/12664/stats?position=P,SP,0,0,13,0,8.91,0,2.08,0,0,0,0,0,0.09835,,,,,,,,,,,,
Derek Law ,0,0.5,0,https://www.fangraphs.com/players/derek-law/13133/stats?position=P,RP,0,0,14,0,4.2,0,1.6,0,0,0,0,0,0.075,,,,,,,,,,,,
Scott Schebler ,0,0.5,0,https://www.fangraphs.com/players/scott-schebler/12225/stats?position=OF,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0.147,0,0.382,0
Jordan Lyles ,0,0.5,0,https://www.fangraphs.com/players/jordan-lyles/7593/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
Joe Panik ,0,0.5,0,https://www.fangraphs.com/players/joe-panik/11936/stats?position=2B,,,,,,,,,,,,,,,17,0,3,0,18,0,2,0,0.208,0,0.55,0
Mike Clevinger ,0,0.5,0,https://www.fangraphs.com/players/mike-clevinger/12808/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
Stephen Piscotty ,0,0.5,0,https://www.fangraphs.com/players/stephen-piscotty/13367/stats?position=OF,,,,,,,,,,,,,,,14,0,5,0,16,0,1,0,0.22,0,0.635,0
Jake Marisnick ,0,0.5,0,https://www.fangraphs.com/players/jake-marisnick/11339/stats?position=OF,,,,,,,,,,,,,,,21,0,5,0,24,0,4,0,0.216,0,0.661,0
Nick Wittgren ,0,0.5,0,https://www.fangraphs.com/players/nick-wittgren/15594/stats?position=P,RP,2,0,61,0,5.07,0,1.26,0,1,0,9,0,0.3117,,,,,,,,,,,,
José Ureña ,0,0.5,0,https://www.fangraphs.com/players/jose-urena/11589/stats?position=P,SP,4,0,67,0,5.84,0,1.61,0,0,0,1,0,0.50335,,,,,,,,,,,,
Kyle Ryan ,0,0.5,0,https://www.fangraphs.com/players/kyle-ryan/11753/stats?position=P,RP,0,0,8,0,6.87,0,1.76,0,1,0,0,0,0.0667,,,,,,,,,,,,
Corey Knebel ,0,0.5,0,https://www.fangraphs.com/players/corey-knebel/15010/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
Chi Chi González ,0,0.5,0,https://www.fangraphs.com/players/chi-chi-gonzalez/14663/stats?position=P,SP,3,0,56,0,6.49,0,1.53,0,0,0,0,0,0.50835,,,,,,,,,,,,
Alex Claudio ,0,0.5,0,https://www.fangraphs.com/players/alex-claudio/12890/stats?position=P,RP,1,0,30,0,5.59,0,1.61,0,1,0,2,0,0.16335,,,,,,,,,,,,
Tony Wolters ,0,0.5,0,https://www.fangraphs.com/players/tony-wolters/11470/stats?position=C,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0.125,0,0.401,0
Delino DeShields ,0,0.5,0,https://www.fangraphs.com/players/delino-deshields/11379/stats?position=OF,,,,,,,,,,,,,,,4,0,1,0,6,0,2,0,0.255,0,0.801,0
Brandon Drury ,0,0.5,0,https://www.fangraphs.com/players/brandon-drury/11615/stats?position=2B/3B/OF,,,,,,,,,,,,,,,7,0,4,0,14,0,0,0,0.274,0,0.783,0
Noah Syndergaard ,0,0.5,0,https://www.fangraphs.com/players/noah-syndergaard/11762/stats?position=P,RP,0,0,2,0,9,0,1.5,0,0,0,0,0,0.01,,,,,,,,,,,,
Dylan Bundy ,0,0.5,0,https://www.fangraphs.com/players/dylan-bundy/12917/stats?position=P,RP,0,0,0,0,100,0,100,0,0,0,0,0,0,,,,,,,,,,,,
José Marmolejos ,0,0.5,0,https://www.fangraphs.com/players/jose-marmolejos/15767/stats?position=1B/OF,,,,,,,,,,,,,,,11,0,4,0,12,0,0,0,0.16,0,0.574,0
Zach Davies ,0,0.5,0,https://www.fangraphs.com/players/zach-davies/13183/stats?position=P,SP,6,0,114,0,5.78,0,1.6,0,0,0,0,0,0.74,,,,,,,,,,,,
Mallex Smith ,0,0.5,0,https://www.fangraphs.com/players/mallex-smith/13608/stats?position=OF,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Michael Feliz ,0,0.5,0,https://www.fangraphs.com/players/michael-feliz/11903/stats?position=P,RP,0,0,22,0,7.2,0,1.65,0,1,0,0,0,0.1,,,,,,,,,,,,
Orlando Arcia ,0,0.5,0,https://www.fangraphs.com/players/orlando-arcia/13185/stats?position=SS,,,,,,,,,,,,,,,9,0,2,0,14,0,1,0,0.198,0,0.567,0
Nomar Mazara ,0,0.5,0,https://www.fangraphs.com/players/nomar-mazara/14553/stats?position=OF,,,,,,,,,,,,,,,12,0,3,0,19,0,0,0,0.212,0,0.597,0
Sammy Long ,0,0.5,0,https://www.fangraphs.com/players/sam-long/25379/stats?position=P,SP,2,0,38,0,5.6,0,1.29,0,0,0,0,0,0.20335,,,,,,,,,,,,
