Player Name,Total Value,Total Salary,FFS Valuation,FG Link,Position,W,W Salary,SO,SO Salary,ERA,ERA Salary,WHIP,WHIP Salary,SV,SV Salary,HLD,HLD Salary,Pitching Modifier,R,R Salary,HR,HR Salary,RBI,RBI Salary,SB,SB Salary,AVG,AVG Salary,OPS,OPS Salary
Blake Snell ,2.68005,2.14,8.04015,https://www.fangraphs.com/players/blake-snell/13543/stats?position=P,SP,7,0.75,170,1.4475375,4.21,0.4825125,1.33,0,0,0,0,0,0.64335,,,,,,,,,,,,
Jed Lowrie ,2.5,2,7.5,https://www.fangraphs.com/players/jed-lowrie/4418/stats?position=2B/SS,,,,,,,,,,,,,,,55,0.5,14,0.5,69,1,0,0,0.245,0.5,0.717,0
José Iglesias ,2.5,2,7.5,https://www.fangraphs.com/players/jose-iglesias/10231/stats?position=SS,,,,,,,,,,,,,,,65,1,9,0,48,0,5,0.5,0.271,1,0.701,0
Kevin Plawecki ,2.5,2,7.5,https://www.fangraphs.com/players/kevin-plawecki/13807/stats?position=C,,,,,,,,,,,,,,,15,0,3,0,15,0,0,0,0.287,2,0.737,0.5
Odúbel Herrera ,2.5,2,7.5,https://www.fangraphs.com/players/odubel-herrera/11476/stats?position=OF,,,,,,,,,,,,,,,59,0.5,13,0,51,0.5,6,0.5,0.26,1,0.726,0
Yimi García ,2.4662625,1.97,7.3987875,https://www.fangraphs.com/players/yimi-garcia/12095/stats?position=P,RP,4,0,60,0,4.25,0,1.17,0.2162625,15,2.25,4,0,0.28835,,,,,,,,,,,,
Collin McHugh ,2.4,1.92,7.2,https://www.fangraphs.com/players/collin-mchugh/7531/stats?position=P,RP,6,0,74,0.24,1.55,1.2,0.94,0.96,1,0,6,0,0.32,,,,,,,,,,,,
Craig Stammen ,2.318925,1.86,6.956775,https://www.fangraphs.com/players/craig-stammen/7274/stats?position=P,RP,6,0,83,0.66255,3.06,0.66255,1.04,0.993825,1,0,7,0,0.4417,,,,,,,,,,,,
Jhoulys Chacín ,2.25,1.8,6.75,https://www.fangraphs.com/players/jhoulys-chacin/2608/stats?position=P,RP,3,0,47,0,4.35,0,1.26,0,0,0,17,2.25,0.3217,,,,,,,,,,,,
Archie Bradley ,2.25,1.8,6.75,https://www.fangraphs.com/players/archie-bradley/12918/stats?position=P,RP,7,0.75,40,0,3.71,0,1.43,0,2,0,13,1.5,0.255,,,,,,,,,,,,
J.A. Happ ,2.071275,1.66,6.213825,https://www.fangraphs.com/players/ja-happ/7410/stats?position=P,SP,10,1.5,122,0.571275,5.8,0,1.48,0,0,0,0,0,0.7617,,,,,,,,,,,,
Donovan Solano ,2,1.6,6,https://www.fangraphs.com/players/donovan-solano/8623/stats?position=2B,,,,,,,,,,,,,,,35,0,7,0,31,0,2,0,0.28,1.5,0.748,0.5
Corey Dickerson ,2,1.6,6,https://www.fangraphs.com/players/corey-dickerson/10762/stats?position=OF,,,,,,,,,,,,,,,43,0,6,0,29,0,6,0.5,0.271,1,0.734,0.5
Gary Sánchez ,2,1.6,6,https://www.fangraphs.com/players/gary-sanchez/11442/stats?position=C,,,,,,,,,,,,,,,54,0.5,23,1,54,0.5,0,0,0.204,0,0.73,0
Jon Gray ,1.8675,1.49,5.6025,https://www.fangraphs.com/players/jon-gray/14916/stats?position=P,SP,8,0.75,157,1.1175,4.59,0,1.33,0,0,0,0,0,0.745,,,,,,,,,,,,
Andrew Heaney ,1.722525,1.38,5.167575,https://www.fangraphs.com/players/andrew-heaney/15423/stats?position=P,SP,8,0.75,150,0.972525,5.85,0,1.32,0,0,0,0,0,0.64835,,,,,,,,,,,,
Mychal Givens ,1.69125,1.35,5.07375,https://www.fangraphs.com/players/mychal-givens/10430/stats?position=P,RP,4,0,54,0,3.35,0.19125,1.37,0,8,0.75,11,0.75,0.255,,,,,,,,,,,,
Seth Lugo ,1.673775,1.34,5.021325,https://www.fangraphs.com/players/seth-lugo/12447/stats?position=P,RP,4,0,55,0,3.51,0.173775,1.3,0,1,0,13,1.5,0.2317,,,,,,,,,,,,
John Gant ,1.65,1.32,4.95,https://www.fangraphs.com/players/john-gant/13684/stats?position=P,RP,5,0,92,1.65,4.09,0,1.51,0,0,0,2,0,0.55,,,,,,,,,,,,
Yadier Molina ,1.5,1.2,4.5,https://www.fangraphs.com/players/yadier-molina/7007/stats?position=C,,,,,,,,,,,,,,,45,0,11,0,66,1,3,0,0.252,0.5,0.667,0
Yan Gomes ,1.5,1.2,4.5,https://www.fangraphs.com/players/yan-gomes/9627/stats?position=C,,,,,,,,,,,,,,,49,0,14,0.5,52,0.5,0,0,0.252,0.5,0.723,0
Drew Smyly ,1.5,1.2,4.5,https://www.fangraphs.com/players/drew-smyly/11760/stats?position=P,SP,11,1.5,117,0,4.49,0,1.38,0,0,0,0,0,0.63335,,,,,,,,,,,,
Starlin Castro ,1.5,1.2,4.5,https://www.fangraphs.com/players/starlin-castro/4579/stats?position=2B/SS,,,,,,,,,,,,,,,25,0,3,0,38,0,0,0,0.283,1.5,0.708,0
Jace Peterson ,1.5,1.2,4.5,https://www.fangraphs.com/players/jace-peterson/12325/stats?position=2B,,,,,,,,,,,,,,,36,0,6,0,31,0,10,1,0.247,0.5,0.714,0
Heath Hembree ,1.4025,1.12,4.2075,https://www.fangraphs.com/players/heath-hembree/11632/stats?position=P,RP,2,0,83,0.435,5.59,0,1.19,0.2175,9,0.75,7,0,0.29,,,,,,,,,,,,
Luis García ,1.2501,1,3.7503,https://www.fangraphs.com/players/luis-garcia/6984/stats?position=P,RP,1,0,34,0,3.26,0.125025,1,0.375075,2,0,11,0.75,0.1667,,,,,,,,,,,,
Luis Cessa ,1.2125625,0.97,3.6376875,https://www.fangraphs.com/players/luis-cessa/13345/stats?position=P,RP,5,0,54,0,2.52,0.7275375,1.15,0.485025,0,0,4,0,0.32335,,,,,,,,,,,,
Taylor Rogers ,1.203825,0.96,3.611475,https://www.fangraphs.com/players/taylor-rogers/13449/stats?position=P,RP,2,0,59,0,3.37,0.151275,1.15,0.30255,9,0.75,8,0,0.2017,,,,,,,,,,,,
Matt Wisler ,1.115025,0.89,3.345075,https://www.fangraphs.com/players/matt-wisler/12804/stats?position=P,RP,3,0,62,0,3.73,0,1.08,0.365025,1,0,10,0.75,0.24335,,,,,,,,,,,,
Jarrod Dyson ,1,0.8,3,https://www.fangraphs.com/players/jarrod-dyson/4866/stats?position=OF,,,,,,,,,,,,,,,17,0,0,0,10,0,10,1,0.207,0,0.549,0
Phil Gosselin ,1,0.8,3,https://www.fangraphs.com/players/phil-gosselin/10953/stats?position=2B,,,,,,,,,,,,,,,40,0,7,0,47,0,4,0,0.261,1,0.676,0
Aledmys Díaz ,1,0.8,3,https://www.fangraphs.com/players/aledmys-diaz/15937/stats?position=SS,,,,,,,,,,,,,,,28,0,8,0,45,0,0,0,0.259,1,0.721,0
Jimmy Nelson ,0.97875,0.78,2.93625,https://www.fangraphs.com/players/jimmy-nelson/10547/stats?position=P,RP,1,0,44,0,1.86,0.54375,0.93,0.435,0,0,6,0,0.145,,,,,,,,,,,,
Tyler Clippard ,0.845025,0.68,2.535075,https://www.fangraphs.com/players/tyler-clippard/5640/stats?position=P,RP,1,0,21,0,3.23,0.095025,1.31,0,6,0.75,3,0,0.1267,,,,,,,,,,,,
Joe Ross ,0.81,0.65,2.43,https://www.fangraphs.com/players/joe-ross/12972/stats?position=P,SP,5,0,109,0,4.17,0.405,1.22,0.405,0,0,0,0,0.54,,,,,,,,,,,,
Zach Eflin ,0.792525,0.63,2.377575,https://www.fangraphs.com/players/zach-eflin/13774/stats?position=P,SP,4,0,99,0,4.19,0.3962625,1.25,0.3962625,0,0,0,0,0.52835,,,,,,,,,,,,
Joakim Soria ,0.75,0.6,2.25,https://www.fangraphs.com/players/joakim-soria/6941/stats?position=P,RP,1,0,40,0,5.09,0,1.37,0,6,0.75,5,0,0.1867,,,,,,,,,,,,
Brad Brach ,0.75,0.6,2.25,https://www.fangraphs.com/players/brad-brach/6627/stats?position=P,RP,1,0,33,0,6.3,0,1.6,0,1,0,10,0.75,0.15,,,,,,,,,,,,
Zack Britton ,0.75,0.6,2.25,https://www.fangraphs.com/players/zack-britton/3240/stats?position=P,RP,0,0,16,0,5.97,0,1.71,0,1,0,11,0.75,0.0917,,,,,,,,,,,,
Corey Kluber ,0.6,0.5,1.8,https://www.fangraphs.com/players/corey-kluber/2429/stats?position=P,SP,5,0,82,0,3.83,0.6,1.34,0,0,0,0,0,0.4,,,,,,,,,,,,
Brock Holt ,0.5,0.5,1.5,https://www.fangraphs.com/players/brock-holt/9345/stats?position=2B/3B/OF,,,,,,,,,,,,,,,21,0,2,0,23,0,5,0.5,0.209,0,0.579,0
Travis Jankowski ,0.5,0.5,1.5,https://www.fangraphs.com/players/travis-jankowski/13768/stats?position=OF,,,,,,,,,,,,,,,24,0,1,0,10,0,5,0.5,0.252,0,0.715,0
Aaron Sanchez ,0.397575,0.5,1.192725,https://www.fangraphs.com/players/aaron-sanchez/11490/stats?position=P,SP,1,0,26,0,3.08,0.397575,1.34,0,0,0,0,0,0.1767,,,,,,,,,,,,
Rex Brothers ,0.3975,0.5,1.1925,https://www.fangraphs.com/players/rex-brothers/9794/stats?position=P,RP,3,0,75,0.3975,5.26,0,1.43,0,1,0,8,0,0.265,,,,,,,,,,,,
Ross Stripling ,0.380025,0.5,1.140075,https://www.fangraphs.com/players/ross-stripling/13273/stats?position=P,SP,5,0,94,0,4.81,0,1.28,0.380025,0,0,0,0,0.5067,,,,,,,,,,,,
Brett Anderson ,0.36,0.5,1.08,https://www.fangraphs.com/players/brett-anderson/8223/stats?position=P,SP,4,0,58,0,4.22,0.36,1.35,0,0,0,0,0,0.48,,,,,,,,,,,,
Tommy Hunter ,0.33,0.5,0.99,https://www.fangraphs.com/players/tommy-hunter/1157/stats?position=P,RP,0,0,6,0,0,0.18,0.88,0.15,0,0,0,0,0.04,,,,,,,,,,,,
Drew Hutchison ,0.3201,0.5,0.9603,https://www.fangraphs.com/players/drew-hutchison/10732/stats?position=P,RP,3,0,10,0,2.13,0.3201,1.47,0,0,0,0,0,0.1067,,,,,,,,,,,,
